r-baclofen	perturbagen_web_00002.tsv
1-azakenpaullone	perturbagen_web_00009.tsv
1-deoxymannojirimycin	perturbagen_web_00010.tsv
1-ebio	perturbagen_web_00011.tsv
1-hexadecanol	perturbagen_web_00014.tsv
1-octacosanol	perturbagen_web_00016.tsv
1-octanol	perturbagen_web_00017.tsv
1-phenylbiguanide	perturbagen_web_00018.tsv
10-debc	perturbagen_web_00025.tsv
10-hydroxycamptothecin	perturbagen_web_00026.tsv
10058-f4	perturbagen_web_00027.tsv
12-o-tetradecanoylphorbol-13-acetate	perturbagen_web_00028.tsv
1400w	perturbagen_web_00029.tsv
2-apb	perturbagen_web_00040.tsv
2-bfi	perturbagen_web_00041.tsv
2-chloro-n6-cyclopentyladenosine	perturbagen_web_00042.tsv
2-chloroadenosine	perturbagen_web_00043.tsv
2-deoxyglucose	perturbagen_web_00047.tsv
2-hydroxyflutamide	perturbagen_web_00054.tsv
2-hydroxysaclofen	perturbagen_web_00055.tsv
2-iminobiotin	perturbagen_web_00056.tsv
2-iodomelatonin	perturbagen_web_00058.tsv
2-methoxyestradiol	perturbagen_web_00059.tsv
2-methyl-5-hydroxytryptamine	perturbagen_web_00060.tsv
2-methylimidazole	perturbagen_web_00062.tsv
2-phenylmelatonin	perturbagen_web_00067.tsv
2-pyridylethylamine	perturbagen_web_00069.tsv
2-thiouracil	perturbagen_web_00071.tsv
20-hete	perturbagen_web_00081.tsv
20-hydroxyecdysone	perturbagen_web_00082.tsv
3-amino-benzamide	perturbagen_web_00086.tsv
3-bromo-7-nitroindazole	perturbagen_web_00089.tsv
3-bromopyruvate	perturbagen_web_00091.tsv
3-deazaadenosine	perturbagen_web_00095.tsv
3-deazauridine	perturbagen_web_00097.tsv
3-methyladenine	perturbagen_web_00102.tsv
3po	perturbagen_web_00112.tsv
4-damp	perturbagen_web_00121.tsv
4-ibp	perturbagen_web_00125.tsv
4-iodo-l-phenylalanine	perturbagen_web_00127.tsv
4-methylhistamine	perturbagen_web_00129.tsv
4-p-pdot	perturbagen_web_00131.tsv
4-tert-butylphenol	perturbagen_web_00137.tsv
4egi-1	perturbagen_web_00143.tsv
